Autism: Staphylococcus, Alistipes, Eubacterium, Pseudomonas, Neisseria, Escherichia, Acinetobacter, Corynebacterium, Rothia, Actinomyces, Collinsella, Coriobacteriaceae, Desulfovibrio, Lachnospira, Akkermansia, Escherichia coli, Clostridium, Granulicatella, Gemella, Proteobacteria
Urolithiasis: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Endometriosis: Streptococcus, Lactobacillus, Bacteroides, Prevotella, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Clostridium
Urogenital Schistosomiasis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Clostridium difficile infection: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Cervical intraneoplasia: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Influenza A: Streptococcus, Lactobacillus, Bacteroides, Prevotella, Faecalibacterium, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Enterobacteriaceae, Coprococcus, Dialister, Actinomyces, Acinetobacter
Recurrent miscarriage: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Thyroid carcinoma: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
H7N9: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Cholestasis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Undernourishment: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Ruminococcaceae
Invasive pneumococcal disease: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Alcoholic cirrhosis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Alopecia areata: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Sicca syndrome: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Clostridium
Tongue cancer: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Giardia intestinalis infection: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Glycogen storage disease: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Frailty: Bacteroides, Lactobacillus, Streptococcus, Faecalibacterium, Veillonella, Bifidobacterium, Prevotella, Fusobacterium, Blautia, Roseburia, Enterococcus, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Enterobacteriaceae, Coprococcus, Actinomyces, Dialister, Acinetobacter
Obstructive sleep apnea-hypopnea syndrome.1: Streptococcus, Lactobacillus, Bacteroides, Prevotella, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Ruminococcaceae
Metabolic syndrome: Streptococcus, Lactobacillus, Bacteroides, Prevotella, Faecalibacterium, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Clostridium
Vitamin D deficiency-mediated chronic pain: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Pancreatic head cancer: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Hepatitis B associated liver failure: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Bladder cancer: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Kostmann syndrome: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Diarrhea: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Seborrheic dermatitis: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Edentulism: Roseburia, Blautia, Ruminococcus, Fusobacterium, Bifidobacterium, Parabacteroides, Enterococcus, Faecalibacterium, Haemophilus, Lachnospiraceae, Veillonella, Bacteroides, Actinomyces, Enterobacteriaceae, Lactobacillus, Acinetobacter, Corynebacterium, Coprococcus, Streptococcus, Clostridium
Generalized anxiety disorder: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Chronic ocular graft-versus-host disease: Bacteroides, Faecalibacterium, Bifidobacterium, Streptococcus, Veillonella, Ruminococcus, Roseburia, Fusobacterium, Enterococcus, Blautia, Lactobacillus, Prevotella, Parabacteroides, Lachnospiraceae, Haemophilus, Enterobacteriaceae, Coprococcus, Actinomyces, Dialister, Ruminococcaceae
Pediculosis: Bacteroides, Faecalibacterium, Lactobacillus, Bifidobacterium, Veillonella, Streptococcus, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Prevotella, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Actinomyces, Dialister, Acinetobacter
Rosacea: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Clostridium
Familial Mediterranean fever: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
AA amyloidosis: Streptococcus, Lactobacillus, Bacteroides, Prevotella, Faecalibacterium, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Acinetobacter
Mucosa-associated lymphoid tissue lymphoma: Streptococcus, Lactobacillus, Bacteroides, Prevotella, Faecalibacterium, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Clostridium
Fibromyalgia: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Chronic liver disease: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Dialister, Coprococcus, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Colon polyps: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Collagenous colitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Common Variable Immunodeficieny: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Sepsis: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Clostridium
Periodontal abscess: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Gestational diabetes + hyperlipidemia: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Anti-N-methyl-D-aspartate receptor encephalitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Atrial fibrillation: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Pemphigus vulgaris: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Orofacial granulomatosis: Bacteroides, Lactobacillus, Streptococcus, Faecalibacterium, Veillonella, Prevotella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Actinomyces, Dialister, Acinetobacter
Radiation enteritis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Intrahepatic Cholangiocarcinoma: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Dialister, Coprococcus, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Osteoporosis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Osteoporosis.1: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Dialister, Coprococcus, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Cancer cachexia: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Enterococcus, Fusobacterium, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Lower respiratory tract infection: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Enterococcus, Fusobacterium, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Ruminococcaceae, Enterobacteriaceae, Actinomyces
Laryngotracheal stenosis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Clostridium
Down syndrome: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Chronic mucocutaneous candidiasis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Hyper IgE syndrome: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Acute cerbral infarction: Faecalibacterium, Bifidobacterium, Bacteroides, Blautia, Veillonella, Fusobacterium, Roseburia, Lactobacillus, Enterococcus, Parabacteroides, Ruminococcus, Streptococcus, Lachnospiraceae, Prevotella, Haemophilus, Enterobacteriaceae, Coprococcus, Actinomyces, Dialister, Acinetobacter
Biliary atresia: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Diabetic nephropathy: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Allergic rhinoconjunctivitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Diaper dermatitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Alopecia universalis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Chronic pancreatitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Posttraumatic stress syndrome: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Hidradenitis suppurativa: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Idiopathic focal epilepsy: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Vogt-Koyagani-Harada disease: Bacteroides, Lactobacillus, Faecalibacterium, Streptococcus, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Prevotella, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Enterobacteriaceae, Coprococcus, Actinomyces, Dialister, Acinetobacter
Iron-deficiency anaemia: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Extrinsic black stain: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Meningococcal disease: Streptococcus, Prevotella, Bacteroides, Lactobacillus, Faecalibacterium, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Enterobacteriaceae, Coprococcus, Dialister, Actinomyces, Clostridium
Neuro-Behcet's disease: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Ruminococcaceae
Miscarriage: Streptococcus, Lactobacillus, Bacteroides, Prevotella, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Ruminococcaceae
Huntington's Disease: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Clostridium
Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Kaposi's sarcoma: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Ischemic stroke: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Wiskott-Aldrich syndrome: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Severe congenital neutropenia: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Vestibulodynia: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Hyperglycemia: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Antrochoanal polyps: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Primary immune thrombocytopenia: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Spleen deficiency syndrome: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Dialister, Enterobacteriaceae, Coprococcus, Actinomyces, Clostridium
